TRT,REP,ENV,DTH,GFD,PHT,TNS,TGW,KA,KW,KL,KC,KLW,KPS,GWS
6,1,FL23,33,36,89,11.125,38.62433862,16.59729949,3.265679,6.69527469,1.412493545,2.071365146,23.625,0.9125
6,2,FL23,34,34,84.66666667,10.625,38.96860987,16.15059342,3.310189087,6.564988625,1.381735285,2.034377324,27.875,1.08625
7,1,GH22,44,40,74,17.75,46.86567164,16.95269765,3.650956901,6.322547968,1.288164052,1.740119007,50.25,2.355
7,2,GH22,48,33,86,21.5,48.14285714,17.27336526,3.829594378,6.171591174,1.245889912,1.616960481,52.5,2.5275
7,3,GH22,48,38,69,21,51.07954545,19.36412817,3.865706253,6.763725626,1.294344318,1.756484339,44,2.2475
7,1,FL22,43,31,,,,,,,,,,
7,2,FL22,43,28,,,,,,,,,,
7,1,GH23,46,31,80,22.75,45.21052632,17.5720006,3.561617546,6.715128781,1.356492406,1.903595575,47.5,2.1475
7,2,GH23,45,28,94,20.75,43.13253012,17.15195891,3.416205521,6.849849564,1.431973489,2.081310482,41.5,1.79
7,1,FL23,41,32,88.33333333,16.875,34.01691332,15.27321452,3.305997871,6.331875725,1.386348723,1.960349677,59.125,2.01125
7,2,FL23,42,33,87,16.375,33.4439834,15.32440072,3.282623674,6.334201569,1.379973643,1.950261805,60.25,2.015
8,1,GH22,45,38,67,16,31.2987013,13.17500608,3.064684919,5.956086478,1.370167896,1.958181944,38.5,1.205
8,2,GH22,47,40,69,18.5,37.88461538,14.7498544,3.404066404,5.999841499,1.302903986,1.774386159,39,1.4775
8,3,GH22,53,46,63,18.25,41.63265306,15.23981004,3.495927261,5.971497375,1.277487566,1.713978886,24.5,1.02
8,1,FL22,38,24.00,,,,,,,,,,
8,2,FL22,38,24,,,,,,,,,,
8,1,GH23,44,35,82,16.25,43.15151515,16.84589227,3.523410273,6.461401303,1.32374444,1.847107745,41.25,1.78
8,2,GH23,42,31,77,16.25,43.98773006,17.11234607,3.494546626,6.547133704,1.32258935,1.879484143,40.75,1.7925
8,1,FL23,39,33,75,15.5,31.34297521,14.00748014,3.164273154,6.184248303,1.417716797,2.01667652,60.5,1.89625
8,2,FL23,40,33,76.66666667,15.875,30.18223235,14.42959863,3.117222234,6.231718206,1.418436851,2.016028317,54.875,1.65625
10,1,GH22,41,37,56,14,34.95049505,14.11116394,3.257862637,5.945329844,1.324837877,1.830879808,25.25,0.8825
10,2,GH22,40,37,72,17,42.96,16.5354934,3.538159594,6.377929716,1.309646542,1.811511246,31.25,1.3425
10,3,GH22,41,43,49,14.5,31.62790698,13.30627336,3.065773985,5.972442996,1.364656626,1.9590167,21.5,0.68
10,1,FL22,33,23,,,,,,,,,,
10,2,FL22,33,22,,,,,,,,,,
10,1,GH23,38,35,74,16.75,45.70247934,16.86258703,3.540860429,6.49536346,1.322107009,1.838378851,30.25,1.3825
10,2,GH23,38,32,67,18.25,46,16.99775154,3.491348713,6.585897448,1.386474974,1.942289051,28.75,1.3225
10,1,FL23,34,33,80.33333333,14.25,31.29943503,14.44406342,3.163212228,6.141370043,1.383339403,1.976926492,44.25,1.385
10,2,FL23,34,33,74.33333333,12.75,32.1192053,14.37565564,3.205873566,6.208223935,1.362264793,1.941235794,37.75,1.2125
11,1,GH22,44,45,69,16.25,47.47311828,18.34978335,3.632875273,6.893697548,1.340096022,1.903531318,46.5,2.2075
11,2,GH22,47,41,94,20.75,48.06122449,18.40944579,3.658371026,6.939486775,1.346958074,1.907638885,49,2.355
11,3,GH22,48,52,78,17.75,51.1627907,18.75219431,3.744636406,6.890373753,1.316579517,1.846253176,32.25,1.65
11,1,FL22,36,27,,,,,,,,,,
11,2,FL22,38,24,,,,,,,,,,
11,1,GH23,42,29,82,15.5,44.64516129,18.00621231,3.63064911,6.769835561,1.343667935,1.874408383,38.75,1.73
11,2,GH23,41,33,81,16.5,44.62962963,17.89691166,3.600671857,6.768281007,1.350201754,1.896937802,40.5,1.8075
